date,team,points,assists,biggest lead,blocks,defensive rebounds,fast break points,field goals attempted,field goals made,fouls,free throws attempted,free throws made,game number,lead changes,losses,margin,margin after the first,margin after the third,margin at the half,matchup losses,matchup wins,offensive rebounds,playoffs,points in the paint,rebounds,rest,site,site streak,steals,streak,team rebounds,three pointers attempted,three pointers made,times tied,total,turnovers,wins,o:team,o:points,o:assists,o:biggest lead,o:blocks,o:defensive rebounds,o:fast break points,o:field goals attempted,o:field goals made,o:fouls,o:free throws attempted,o:free throws made,o:losses,margin,o:margin after the first,o:margin after the third,o:margin at the half,o:matchup losses,o:matchup wins,o:offensive rebounds,o:points in the paint,o:rebounds,o:rest,o:site,o:site streak,o:steals,o:streak,o:team rebounds,o:three pointers attempted,o:three pointers made,o:turnovers,o:wins,season
20091115,Lakers,91,23,14,10,32,18,84,32,17,27,20,10,10,2,-10,6,-7,2,0,1,6,0,40,38,1,home,-1,10,-1,9,23,7,7,201.0,13,7,Rockets,101,27,13,6,47,14,91,38,24,19,16,4,-10,-6,7,-2,1,0,13,44,60,1,away,-1,9,-1,8,32,9,19,5,2009
20091115,Pistons,90,12,7,6,32,6,83,38,19,17,12,10,13,4,-5,-4,-5,6,0,0,12,0,46,44,0,home,-1,4,3,12,13,2,7,184.5,13,5,Mavericks,95,25,8,7,27,14,82,36,15,21,16,3,-5,4,5,-6,0,0,11,36,38,1,away,-2,11,1,7,16,7,7,6,2009
20091115,Suns,101,18,7,4,34,10,78,35,16,27,23,11,6,2,1,-2,-2,-3,0,0,12,0,38,46,2,home,-1,3,-1,8,24,8,11,232.5,15,8,Raptors,100,18,10,4,28,4,88,40,20,14,11,4,1,2,2,3,0,0,11,40,39,1,away,-1,6,2,5,24,9,11,5,2009
20091115,Thunder,93,13,3,1,30,10,85,33,25,29,24,10,25,4,-8,-3,1,-8,0,1,18,0,40,48,0,home,-3,7,2,7,20,3,18,183.0,12,5,Clippers,101,17,13,4,30,10,79,38,21,28,20,7,-8,3,-1,8,1,0,12,46,42,1,away,4,9,-3,9,17,5,12,3,2009
20091116,Bucks,113,26,2,4,33,18,99,44,21,17,11,8,8,2,-2,-5,-3,-12,0,0,14,0,42,47,1,home,3,10,4,6,27,14,8,193.0,10,5,Mavericks,115,28,18,3,39,9,86,44,19,22,17,3,-2,5,3,12,0,0,9,40,48,0,away,-3,5,2,7,20,10,15,7,2009
20091116,Hawks,99,20,8,5,32,19,91,39,17,20,16,11,5,2,4,-8,-9,-5,0,1,15,0,56,47,1,home,1,7,4,11,18,5,10,189.5,14,8,Trailblazers,95,24,12,2,29,16,80,37,25,17,14,3,4,8,9,5,1,0,8,36,37,1,away,-4,9,6,7,17,7,17,8,2009
20091116,Magic,97,19,12,2,28,14,77,33,22,31,20,11,8,3,6,4,8,-2,0,1,13,0,36,41,2,home,2,8,1,7,32,11,7,184.0,13,7,Hornets,91,17,5,1,30,11,71,36,26,26,15,6,6,-4,-8,2,1,0,4,40,34,1,away,1,9,-4,19,14,4,16,3,2009
20091117,Cavaliers,114,24,15,7,28,11,79,46,18,17,13,11,7,3,6,5,11,11,0,0,6,0,52,34,2,home,1,10,4,10,20,9,3,215.0,16,7,Warriors,108,24,6,2,25,19,88,41,17,22,17,6,6,-5,-11,-11,0,0,12,42,37,2,away,-3,7,-1,8,24,9,14,3,2009
20091117,Heat,87,17,5,4,27,8,72,31,18,30,20,10,5,2,-13,-8,-15,-3,0,0,9,0,42,36,2,home,4,6,1,13,18,5,2,182.5,15,7,Thunder,100,19,17,3,32,12,77,37,25,22,21,5,-13,8,15,3,0,0,9,38,41,1,away,1,11,-1,2,14,5,11,5,2009
20091117,Pelicans,110,23,17,2,32,11,81,37,24,33,28,12,2,8,8,7,9,5,0,1,19,0,28,51,2,home,-1,9,-3,4,28,8,3,192.0,16,3,Clippers,102,25,2,5,25,20,82,39,27,21,17,7,8,-7,-9,-5,1,0,11,42,36,1,away,-1,4,1,5,20,7,17,4,2009
20091117,Kings,87,17,3,7,28,16,81,35,20,18,13,10,8,4,-14,-4,-14,-14,0,0,13,0,56,41,3,home,3,8,4,8,21,4,6,198.0,21,5,Bulls,101,21,17,7,29,22,83,39,16,21,16,4,-14,4,14,14,0,0,12,44,41,2,away,1,12,1,10,12,7,15,5,2009
